BEGIN
CREATE TABLE
INSERT 0 67
 rk |          team          |  str  | ofs  | dfs  | sos  
----+------------------------+-------+------+------+------
  1 | UCLA                   | 10.47 | 3.11 | 0.30 | 1.55
  2 | Stanford               |  8.14 | 2.73 | 0.33 | 1.53
  3 | USC                    |  7.74 | 2.66 | 0.34 | 1.41
  4 | California             |  4.86 | 2.26 | 0.47 | 1.60
  5 | Arizona State          |  3.87 | 1.79 | 0.46 | 1.50
  6 | Michigan               |  3.79 | 1.91 | 0.50 | 1.42
  7 | Hawaii                 |  3.48 | 1.82 | 0.52 | 1.59
  8 | UC Irvine              |  3.47 | 1.91 | 0.55 | 1.52
  9 | Pacific                |  2.74 | 1.70 | 0.62 | 1.37
 10 | Princeton              |  2.22 | 1.28 | 0.58 | 1.17
 11 | UC Santa Barbara       |  2.18 | 1.40 | 0.64 | 1.38
 12 | Long Beach State       |  2.11 | 1.36 | 0.64 | 1.32
 13 | Indiana                |  2.06 | 1.28 | 0.62 | 1.30
 14 | UC San Diego           |  2.05 | 1.31 | 0.64 | 1.28
 15 | UC Davis               |  1.93 | 1.58 | 0.82 | 1.39
 16 | San Diego State        |  1.84 | 1.36 | 0.74 | 1.40
 17 | San Jose State         |  1.77 | 1.23 | 0.70 | 1.57
 18 | Loyola Marymount       |  1.73 | 1.18 | 0.68 | 1.26
 19 | Wagner                 |  1.72 | 1.22 | 0.71 | 1.05
 20 | Harvard                |  1.62 | 1.20 | 0.74 | 1.14
 21 | Hartwick               |  1.60 | 1.52 | 0.95 | 1.14
 22 | CSU Bakersfield        |  1.59 | 1.25 | 0.79 | 1.24
 23 | CSU Northridge         |  1.45 | 1.23 | 0.84 | 1.25
 24 | Cal State Northridge   |  1.43 | 1.20 | 0.84 | 1.39
 25 | Marist                 |  1.34 | 1.21 | 0.91 | 1.09
 26 | Cal Baptist            |  1.25 | 1.12 | 0.90 | 1.06
 27 | Fresno State           |  1.18 | 1.14 | 0.96 | 0.77
 28 | Brown                  |  1.16 | 1.04 | 0.89 | 0.90
 29 | Azusa Pacific          |  1.14 | 0.98 | 0.86 | 0.99
 30 | Bucknell               |  1.08 | 0.98 | 0.91 | 1.07
 31 | Santa Clara            |  1.04 | 0.91 | 0.87 | 1.25
 32 | Pomona Pitzer          |  1.01 | 0.95 | 0.94 | 1.07
 33 | Iona                   |  0.99 | 1.19 | 1.20 | 0.96
 34 | CSU East Bay           |  0.93 | 1.01 | 1.09 | 1.04
 35 | CSU Monterey Bay       |  0.91 | 1.10 | 1.21 | 0.95
 36 | Whittier               |  0.89 | 1.04 | 1.16 | 1.05
 37 | VMI                    |  0.85 | 1.22 | 1.43 | 0.82
 38 | Fresno Pacific         |  0.85 | 0.98 | 1.16 | 0.89
 39 | La Verne               |  0.85 | 0.94 | 1.11 | 0.96
 40 | Sonoma State           |  0.84 | 0.95 | 1.13 | 1.09
 41 | Cal State East Bay     |  0.84 | 1.06 | 1.26 | 1.00
 42 | George Washington      |  0.77 | 1.00 | 1.30 | 0.97
 43 | Cal Lutheran           |  0.73 | 0.74 | 1.01 | 0.79
 44 | St.Francis (Pa.)       |  0.71 | 1.09 | 1.53 | 1.29
 45 | Villanova              |  0.69 | 0.85 | 1.24 | 0.88
 46 | Claremont Mudd Scripps |  0.63 | 0.77 | 1.23 | 0.89
 47 | Saint Francis (Pa.)    |  0.61 | 0.77 | 1.26 | 0.81
 48 | Gannon                 |  0.58 | 0.86 | 1.49 | 0.87
 49 | Concordia              |  0.58 | 0.80 | 1.39 | 0.95
 50 | Chapman                |  0.54 | 0.77 | 1.42 | 0.90
 51 | Cal State Monterey Bay |  0.53 | 0.64 | 1.22 | 1.16
 52 | Mercyhurst             |  0.51 | 0.81 | 1.59 | 0.85
 53 | St.Francis Brooklyn    |  0.50 | 0.77 | 1.53 | 0.91
 54 | Siena                  |  0.50 | 0.70 | 1.41 | 0.95
 55 | Carthage               |  0.50 | 0.70 | 1.41 | 0.58
 56 | Redlands               |  0.43 | 0.57 | 1.32 | 0.85
 57 | Macalester             |  0.43 | 0.60 | 1.38 | 0.59
 58 | Washington & Jefferson |  0.41 | 0.61 | 1.46 | 0.59
 59 | Occidental             |  0.41 | 0.71 | 1.72 | 0.85
 60 | St.Francis (N.Y.)      |  0.35 | 0.62 | 1.78 | 0.95
 61 | Connecticut            |  0.30 | 0.51 | 1.71 | 0.67
 62 | Monmouth               |  0.26 | 0.44 | 1.69 | 0.59
 63 | Penn State Behrend     |  0.24 | 0.50 | 2.09 | 0.62
 64 | Grove City             |  0.22 | 0.49 | 2.26 | 0.62
 65 | La Salle               |  0.22 | 0.45 | 2.08 | 0.88
 66 | Cal Tech               |  0.13 | 0.38 | 2.80 | 0.73
 67 | Utica                  |  0.11 | 0.30 | 2.71 | 0.61
(67 rows)

COPY 67
COMMIT
